DataLabel,TP,TE1,TE2,TE3,TE4,Program Number,Batch Status
696,2.0634615384615387,121.41648351648352,121.58186813186812,121.57527472527472,121.58516483516485,8,1
697,2.10956043956044,122.06373626373626,122.3065934065934,122.27197802197804,122.28021978021978,16,1
698,2.1095054945054947,122.1478021978022,122.28076923076922,122.25934065934068,122.27802197802195,17,1
699,2.109354838709677,122.03225806451611,122.25645161290322,122.21451612903226,122.2467741935484,12,1
700,2.1095054945054947,121.9846153846154,122.27857142857144,122.23681318681318,122.26758241758242,16,1
701,2.1095054945054947,122.08406593406592,122.30274725274724,122.27362637362636,122.28076923076922,17,1
702,2.1095054945054943,122.07472527472528,122.26978021978022,122.2642857142857,122.27527472527473,16,1
703,2.1093406593406594,122.07527472527472,122.3076923076923,122.26373626373626,122.27472527472528,16,1
704,2.109354838709677,121.99193548387096,122.26129032258063,122.21935483870968,122.24516129032256,12,1
705,2.1095054945054947,122.06868131868131,122.30604395604396,122.27527472527473,122.27912087912088,16,1
706,2.1095054945054947,122.06703296703296,122.2978021978022,122.27142857142856,122.27857142857144,17,1
707,2.1091935483870965,122.03225806451611,122.25161290322582,122.21935483870968,122.2467741935484,12,1
708,3.15,27.0,27.2,27.4,27.3,2,0
709,2.1091935483870965,122.0209677419355,122.26290322580644,122.24193548387096,122.25645161290322,12,1
710,2.1096153846153847,122.09230769230768,122.35109890109892,122.27912087912088,122.28076923076922,16,1
711,2.1094505494505493,122.07967032967034,122.32362637362638,122.26978021978022,122.27802197802195,16,1
712,0.08,19.7,19.7,19.8,19.8,1,0
713,2.1091935483870965,122.00645161290322,122.27258064516128,122.23225806451612,122.25161290322582,12,1
714,2.1093956043956044,122.06923076923076,122.3021978021978,122.2653846153846,122.27472527472528,17,1
715,2.109175824175824,122.07747252747252,122.3043956043956,122.26318681318682,122.27307692307691,16,1
716,2.109032258064516,122.04193548387096,122.26612903225806,122.22741935483872,122.24838709677418,12,1
717,2.063846153846154,121.47637362637364,121.62472527472528,121.57252747252748,121.589010989011,8,1
